fold,model,max_depth,min_samples_leaf,max_features,n_estimators,val_rmse,trial,is_best,learning_rate,subsample,colsample_bytree,reg_lambda,min_child_weight
test,random_forest,10.0,8.0,1.0,100.0,0.9818292377658482,63.0,0,,,,,
test,random_forest,8.0,2.0,0.9,250.0,0.9599310623389377,64.0,0,,,,,
test,random_forest,3.0,5.0,0.5,50.0,1.4703366705319478,65.0,0,,,,,
test,random_forest,12.0,10.0,0.3,150.0,1.1000702164037615,66.0,0,,,,,
test,random_forest,6.0,2.0,0.5,50.0,1.0182780906781963,67.0,0,,,,,
test,random_forest,3.0,10.0,0.7,300.0,1.3630186072085486,68.0,0,,,,,
test,random_forest,3.0,2.0,0.5,100.0,1.55940789043652,69.0,0,,,,,
test,random_forest,10.0,1.0,0.9,150.0,0.9621554004416493,70.0,0,,,,,
test,random_forest,10.0,3.0,0.7,150.0,0.934386925929216,71.0,0,,,,,
test,random_forest,3.0,8.0,0.3,50.0,1.8561684459224599,72.0,0,,,,,
test,random_forest,8.0,1.0,0.9,150.0,0.96770266140003,73.0,0,,,,,
test,random_forest,3.0,8.0,1.0,50.0,1.2330153150315586,74.0,0,,,,,
test,random_forest,10.0,3.0,1.0,150.0,0.9698868339664641,75.0,0,,,,,
test,random_forest,6.0,10.0,1.0,250.0,1.0029268845994386,76.0,0,,,,,
test,random_forest,3.0,2.0,0.7,200.0,1.3595561820604174,77.0,0,,,,,
test,random_forest,10.0,8.0,0.7,100.0,0.9570143936578449,78.0,0,,,,,
test,random_forest,4.0,5.0,1.0,150.0,1.067828594692624,79.0,0,,,,,
test,random_forest,10.0,10.0,0.7,100.0,0.9586356237037384,80.0,0,,,,,
test,random_forest,12.0,1.0,0.9,150.0,0.9723301213898161,81.0,0,,,,,
test,random_forest,6.0,8.0,1.0,150.0,1.0030719082148043,82.0,0,,,,,
test,random_forest,3.0,1.0,0.9,100.0,1.210391505722559,83.0,0,,,,,
test,random_forest,16.0,3.0,sqrt,100.0,0.9322137493772751,84.0,0,,,,,
test,random_forest,4.0,10.0,0.3,50.0,1.495288111512296,85.0,0,,,,,
test,random_forest,16.0,10.0,0.5,100.0,0.971522300296003,86.0,0,,,,,
test,random_forest,12.0,10.0,sqrt,50.0,1.0575142037251053,87.0,0,,,,,
test,random_forest,6.0,1.0,sqrt,50.0,1.2089677946844546,88.0,0,,,,,
test,random_forest,8.0,8.0,0.3,100.0,1.104194316731971,89.0,0,,,,,
test,random_forest,8.0,5.0,0.9,50.0,0.9588651598579235,90.0,0,,,,,
test,random_forest,16.0,8.0,0.3,100.0,1.0382130549216124,91.0,0,,,,,
test,random_forest,12.0,8.0,sqrt,50.0,1.0404901960088098,92.0,0,,,,,
test,random_forest,6.0,8.0,0.5,100.0,1.0762765191869479,93.0,0,,,,,
test,random_forest,3.0,8.0,0.7,50.0,1.3634457281404202,94.0,0,,,,,
test,random_forest,12.0,1.0,0.7,150.0,0.9526452657521164,95.0,0,,,,,
test,random_forest,4.0,5.0,0.5,150.0,1.3233056286275904,96.0,0,,,,,
test,random_forest,8.0,10.0,1.0,50.0,0.9970373681957249,97.0,0,,,,,
test,random_forest,3.0,1.0,0.5,150.0,1.5812706276379274,98.0,0,,,,,
test,random_forest,3.0,10.0,0.5,300.0,1.5049945066858839,99.0,0,,,,,
test,xgboost,8.0,,,234.0,0.9178031657539942,0.0,0,0.02,0.6,0.9,1.0,10.0
test,xgboost,6.0,,,60.0,0.9122239349951047,1.0,0,0.08,0.7,0.8,0.5,5.0
test,xgboost,3.0,,,104.0,0.919522772018147,2.0,0,0.08,0.8,0.6,5.0,5.0
test,xgboost,4.0,,,666.0,0.9203735428556479,3.0,0,0.01,0.7,0.6,0.5,3.0
test,xgboost,6.0,,,70.0,0.9127036906666856,4.0,0,0.08,0.9,0.6,1.0,1.0
test,xgboost,4.0,,,148.0,0.9270552269244638,5.0,0,0.08,0.7,0.7,5.0,3.0
test,xgboost,5.0,,,545.0,0.9148368091485757,6.0,0,0.01,0.9,0.9,2.0,3.0
test,xgboost,8.0,,,685.0,0.9030052416433059,7.0,1,0.01,0.6,0.6,2.0,3.0
test,xgboost,8.0,,,587.0,0.9141736466442124,8.0,0,0.01,0.6,0.9,5.0,10.0
test,xgboost,6.0,,,286.0,0.9085741411429621,9.0,0,0.03,0.6,0.6,2.0,10.0
test,xgboost,6.0,,,167.0,0.9106347628221754,10.0,0,0.03,0.9,0.9,1.0,1.0
test,xgboost,8.0,,,118.0,0.915159927666316,11.0,0,0.05,0.9,0.6,0.5,3.0
test,xgboost,3.0,,,189.0,0.926755618195925,12.0,0,0.05,0.8,0.6,5.0,5.0
test,xgboost,3.0,,,91.0,0.9274325208637098,13.0,0,0.08,0.9,0.7,5.0,1.0
test,xgboost,4.0,,,90.0,0.9119148594351629,14.0,0,0.05,0.6,0.9,0.5,5.0
test,xgboost,8.0,,,452.0,0.9119650792006455,15.0,0,0.01,0.8,0.9,2.0,1.0
test,xgboost,6.0,,,114.0,0.9140696759902902,16.0,0,0.08,0.7,0.8,2.0,5.0
test,xgboost,4.0,,,182.0,0.9309426688416281,17.0,0,0.05,0.8,0.7,1.0,5.0
test,xgboost,6.0,,,201.0,0.9095928355213734,18.0,0,0.05,0.6,0.6,5.0,3.0
test,xgboost,3.0,,,260.0,0.9211220496963379,19.0,0,0.03,0.6,0.7,1.0,10.0
test,xgboost,3.0,,,146.0,0.9255735006711954,20.0,0,0.05,0.6,0.7,5.0,3.0
test,xgboost,6.0,,,444.0,0.9077363842057294,21.0,0,0.02,0.8,0.6,5.0,3.0
test,xgboost,8.0,,,849.0,0.9086258559705203,22.0,0,0.01,0.6,0.6,5.0,10.0
test,xgboost,8.0,,,612.0,0.908608088199135,23.0,0,0.01,0.8,0.7,1.0,5.0
test,xgboost,6.0,,,277.0,0.9077478081209065,24.0,0,0.03,0.9,0.7,5.0,5.0
test,xgboost,3.0,,,735.0,0.9230548787468883,25.0,0,0.01,0.7,0.7,2.0,5.0
test,xgboost,3.0,,,624.0,0.9187347146743245,26.0,0,0.01,0.6,0.9,5.0,10.0
test,xgboost,6.0,,,187.0,0.9106725799279467,27.0,0,0.05,0.8,0.6,0.5,5.0
test,xgboost,5.0,,,429.0,0.9175871495568049,28.0,0,0.02,0.6,0.6,0.5,10.0
test,xgboost,5.0,,,232.0,0.9178086194081991,29.0,0,0.03,0.9,0.8,2.0,1.0
test,xgboost,6.0,,,88.0,0.9080322683424679,30.0,0,0.08,0.6,0.8,2.0,3.0
test,xgboost,8.0,,,44.0,0.9249065638810634,31.0,0,0.08,0.9,0.9,0.5,3.0
