model,rmse,mae,r2
random_forest_m0,1.7895691458640914,0.4406769581557443,0.3579128827276711
random_forest_m1,1.7895691458640914,0.4406769581557443,0.3579128827276711
xgboost_m4,1.7899540256928401,0.3637575284903229,0.35763666769026925
random_forest_m2,1.791154142284569,0.4343895061887878,0.35677500384909333
random_forest_m4,1.7913367287949105,0.43416429401359674,0.35664385914116736
random_forest_m3,1.8294511770277528,0.42397701896970114,0.32897509810539294
xgboost_m1,1.91091627806681,0.44250919279066814,0.2678833067925719
xgboost_m0,1.91091627806681,0.44250919279066814,0.2678833067925719
xgboost_m3,2.0255349831330323,0.37500993350467166,0.17742314383813762
xgboost_m2,2.0888226088531447,0.4416823445390105,0.1252174553566654
