class,order,family,Genus,species,wet_Mass_g,wet_Mass_kg,BMR,BMR_unit,temperature,temperature_unit,Reference,taxon_name,pc1,pc2,pc3,pc4,pc5,log_mass,log_BMR,inv_kT
Amphibia,Anura,Phyllomedusidae,Agalychnis,callidryas,5.65,0.00565,0.00187015,W,20.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Agalychnis callidryas,-2836.5673668860463,234.1000423076803,-2017.757836102996,-549.7817874540093,170.41390811095334,-2.2479515521805613,-2.728123558404843,39.5871292029482
Amphibia,Caudata,Ambystomatidae,Ambystoma,gracile,30.39,0.03039,0.00352524,W,15.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Ambystoma gracile,-3286.444941342096,4085.601787903296,1647.6246432295866,-162.46776478374986,-3111.7092684939817,-1.5172692999200572,-2.452811310693139,40.274047981413375
Amphibia,Caudata,Ambystomatidae,Ambystoma,mexicanum,21.3,0.0213,0.0017679,W,22.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Ambystoma mexicanum,-3286.444941342096,4085.601787903296,1647.6246432295866,-162.46776478374986,-3111.7092684939817,-1.6716203965612624,-2.752542304185188,39.31887828508983
Amphibia,Caudata,Amphiumidae,Amphiuma,means,352.0,0.352,0.004928,W,5.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Amphiuma means,-3286.444941342096,4085.601787903296,1647.6246432295866,-162.46776478374986,-3111.7092684939817,-0.453457336521869,-2.307329300843631,41.72197348856467
Amphibia,Anura,Bufonidae,Anaxyrus,americanus,50.0,0.05,0.0077,W,20.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Anaxyrus americanus,-2836.5673668860463,234.1000423076803,-2017.757836102996,-549.7817874540093,170.41390811095334,-1.3010299956639813,-2.113509274827518,39.5871292029482
Amphibia,Anura,Dendrobatidae,Colostethus,inguinalis,1.57,0.00157,0.00075831,W,20.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Colostethus inguinalis,-2836.5673668860463,234.10004230768035,-2017.757836102996,-549.7817874540093,170.4139081109531,-2.8041003475907664,-3.1201532168392543,39.5871292029482
Amphibia,Caudata,Ambystomatidae,Dicamptodon,ensatus,23.41,0.02341,0.00091299,W,15.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Dicamptodon ensatus,-3286.444941342096,4085.601787903296,1647.6246432295866,-162.46776478374986,-3111.7092684939817,-1.6305985863033756,-3.0395339792768765,40.274047981413375
Amphibia,Anura,Hylidae,Dryophytes,arenicolor,7.779999999999999,0.00778,0.0135761,W,20.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Dryophytes arenicolor,-2836.5673668860463,234.1000423076803,-2017.757836102996,-549.7817874540093,170.41390811095334,-2.109020403010311,-1.8672249717151124,39.5871292029482
Amphibia,Anura,Hylidae,Dryophytes,chrysoscelis,3.37,0.00337,0.00166815,W,10.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Dryophytes chrysoscelis,-2836.5673668860463,234.1000423076803,-2017.757836102996,-549.7817874540093,170.41390811095334,-2.4723700991286615,-2.7777649001950926,40.9852266496354
Amphibia,Anura,Hylidae,Dryophytes,cinereus,3.9,0.0039,0.0008228999999999,W,25.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Dryophytes cinereus,-2836.5673668860463,234.1000423076803,-2017.757836102996,-549.7817874540093,170.41390811095334,-2.408935392973501,-3.0846529376758607,38.92324979320565
