"taxon_name","class","order","family","Genus","species","wet_Mass_g","wet_Mass_kg","temperature","temperature_unit","Reference","log_mass","log_BMR","inv_kT","row_id","temp_K","pc1","pc2","pc3","pc4","pc5","removed_due_bad_branch","in_phylogeny","fixed_only_log_BMR","conditional_log_BMR"
"Ambystoma gracile","Amphibia","Caudata","Ambystomatidae","Ambystoma","gracile",22,0.022,15,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",-3.81671282562382,-4.4898593394771,40.2740479814134,0,288.15,-4787.35547680534,-1628.02388294841,32.4701150460995,-1.88743442551193,-0.00293293133310313,FALSE,TRUE,-4.82661556287057,-5.27372499866517
"Ambystoma gracile","Amphibia","Caudata","Ambystomatidae","Ambystoma","gracile",30.39,0.03039,15,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",-3.49364167205344,-5.64780675992921,40.2740479814134,31,288.15,-4787.35547680534,-1628.02388294841,32.4701150460995,-1.88743442551193,-0.00293293133310313,FALSE,TRUE,-4.58005494466725,-5.02716438046184
"Ambystoma laterale","Amphibia","Caudata","Ambystomatidae","Ambystoma","laterale",4,0.004,21,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",-5.52146091786225,-4.59412034980151,39.4525477676161,1,294.15,-5161.75961412521,3001.3884308578,9.63443467555201,-0.806028876738105,-0.00210493701184144,FALSE,TRUE,-5.61853704574654,-6.09394456372131
"Ambystoma macrodactylum","Amphibia","Caudata","Ambystomatidae","Ambystoma","macrodactylum",2,0.002,15,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",-6.21460809842219,-6.43083120689183,40.2740479814134,2,288.15,-5161.75961412521,3001.3884308578,9.63443467555201,-0.806028876738105,-0.00210493701184144,FALSE,TRUE,-6.65663515550251,-7.13245264415792
"Ambystoma macrodactylum","Amphibia","Caudata","Ambystomatidae","Ambystoma","macrodactylum",3.414,0.003414,15,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",-5.67987065460989,-7.40024012775143,40.2740479814134,32,288.15,-5161.75961412521,3001.3884308578,9.63443467555201,-0.806028876738105,-0.00210493701184144,FALSE,TRUE,-6.24853559828189,-6.72435308693729
"Amphiuma tridactylum","Amphibia","Caudata","Amphiumidae","Amphiuma","tridactylum",493,0.493,25,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",-0.707246104939447,-1.75703603316967,38.9232497932056,3,298.15,-4787.35547680534,-1628.02388294841,32.4701150460995,-1.88743442551193,-0.00293293133310313,FALSE,TRUE,-1.61641794954031,-2.59283887735905
"Amphiuma tridactylum","Amphibia","Caudata","Amphiumidae","Amphiuma","tridactylum",652,0.652,15,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",-0.427710717055484,-4.2909435583142,40.2740479814134,36,288.15,-4787.35547680534,-1628.02388294841,32.4701150460995,-1.88743442551193,-0.00293293133310313,FALSE,TRUE,-2.24020558554356,-3.21662651336232
"Anaxyrus boreas","Amphibia","Anura","Bufonidae","Anaxyrus","boreas",25,0.025,26,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",-3.68887945411394,-1.68619897356756,38.7931369742412,4,299.15,-4787.35547680534,-1628.02388294841,32.4701150460995,-1.88743442551193,-0.00293293133310313,FALSE,TRUE,-3.81129917461982,-2.93949006165475
"Anaxyrus boreas","Amphibia","Anura","Bufonidae","Anaxyrus","boreas",57.8,0.0578,20,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",-2.85076650330381,-5.14340126544468,39.5871292029482,37,293.15,-4787.35547680534,-1628.02388294841,32.4701150460995,-1.88743442551193,-0.00293293133310313,FALSE,TRUE,-3.66372671405184,-2.79191760108678
"Anaxyrus boreas","Amphibia","Anura","Bufonidae","Anaxyrus","boreas",58,0.058,20,"C","J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",-2.84731226843572,-1.41172613571209,39.5871292029482,6,293.15,-4787.35547680534,-1628.02388294841,32.4701150460995,-1.88743442551193,-0.00293293133310313,FALSE,TRUE,-3.66109051990364,-2.78928140693855
