model,rmse,mae,r2,rmse_macro,mae_macro,r2_macro,n_classes_eval,rmse_bal,mae_bal,r2_bal
M1-R,0.7093197744933379,0.5882655912516377,0.7777275312460247,0.7904237905415468,0.6993308163019667,-0.12377079098774357,8,0.8574522357772945,0.6993308163019667,0.7358088698097345
M-MTE,0.6020525656518144,0.4781654748028019,0.8398708635777009,0.6435932482900923,0.5370407262327768,0.24057065064580743,8,0.6698393982464522,0.5370407262327768,0.8387722717535235
M2-R,0.548307578629132,0.42925137235796995,0.8671841102845852,0.618197716508964,0.5186799285752357,0.3104919846770364,8,0.6495588565335095,0.5186799285752359,0.8483873719684112
M3-R,0.3469404297629469,0.24603981678747625,0.9468245268649649,0.41348789338110997,0.3225465902594689,0.738424006129555,8,0.4732427436598505,0.3225465902594689,0.9195240178433591
M4-R,0.5302581419393376,0.40549764768836877,0.8757843747070607,0.5630396765281565,0.4496346425369141,0.5118452230130354,8,0.5924935913771359,0.4496346425369141,0.8738562687443752
