model,rmse,mae,r2,rmse_macro,mae_macro,r2_macro,n_classes_eval,rmse_bal,mae_bal,r2_bal
M-MTE,0.5792292553690038,0.4618784786658362,0.8517814650556148,0.6600395668401469,0.5471838106645386,0.26359303834131637,8,0.6746465615067361,0.5471838106645385,0.8364498371072021
M3-RF,0.3864267426453133,0.2739569335122751,0.9340316097293843,0.4479056744432701,0.3566495545294558,0.7232648512069785,8,0.4957306256015777,0.35664955452945574,0.9116940721033812
M4-RF,0.43781756842105435,0.3203125908339149,0.9153186237119512,0.48581797813179506,0.3847653569902728,0.675222526056518,8,0.524512762305266,0.3847653569902728,0.9011423054371064
M3-XGB,0.37200068836660116,0.26283738844216886,0.9388651254199838,0.4745570883801991,0.37412142546982413,0.6477333023525587,8,0.5627731380778737,0.37412142546982413,0.886194021244302
M4-XGB,0.4327130467198094,0.32055660418749066,0.9172817156620912,0.49563161026919395,0.38209597911006954,0.6399836592303644,8,0.5532808377023242,0.38209597911006943,0.890000777149639
Residual-RF,0.33548315082719277,0.24036668096706984,0.9502786439119443,0.4077486932626375,0.31342612999775205,0.7373284058137519,8,0.4768550039298604,0.3134261299977521,0.9182907832983331
Residual-XGB,0.3327277946122849,0.23319961893758834,0.9510920227640355,0.43642637900246156,0.34398160083839247,0.661367238954339,8,0.546626168269047,0.3439816008383924,0.8926309289453314
