model,rmse,mae,r2
M2,0.5449472808142759,0.4291180341674829,0.8688070437831232
M3,0.3466874421209891,0.240529400663426,0.9469020492956893
M4,0.45846924324504407,0.33881516428214664,0.9071414387223583
