model,rmse,mae,r2
M3 (MTE + class),0.3466874421209891,0.240529400663426,0.9469020492956893
M3-XGB,0.3886675194302073,0.2600135253930391,0.9332643283533752
M4-XGB,0.4432278059171302,0.30931619666404464,0.9132128284513105
Residual-XGB,0.34071899844434267,0.2412396516033127,0.9487145418670885
