Species,wet_mass_g,wet_mass_kg,BMR,BMR_unit,temperature,temperature_unit,Food,Habitat,Torpor,Islands,Mountains,source_file,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Eurycea longicauda,1.0,0.001,0.0034377777777777,W,15.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.956454770892,-5530.345352799066,756.4879785710095,-2858.0210740571724,5842.770620919135,1.3351243689653378,44.31101488242641,159.07608378086368,0.032567874572381,0.0447058690203043
Gastrophryne carolinensis,2.0,0.002,0.0128013369768576,W,20.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Hydromantes platycephalus,2.0,0.002,0.0047883333333333,W,15.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5245.42809510134,-5371.5125355869895,585.5198230162318,-443.0625874385415,-745.9272767006054,-0.9781958542154996,-191.86521015521856,19.95321262347688,0.0518165390428367,0.5786593485044109
Hyperolius viridiflavus,1.0,0.001,0.0054508918740167,W,20.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Kaloula pulchra,31.0,0.031,0.176493271738998,W,20.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Necturus maculosus,102.0,0.102,0.0387977777777777,W,15.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Notophthalmus viridescens,1.0,0.001,0.0027011111111111,W,15.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5245.42809510134,-5371.5125355869895,585.5198230162318,-443.0625874385415,-745.9272767006054,-0.9781958542154996,-191.86521015521856,19.95321262347688,0.0518165390428367,0.5786593485044109
Odontophrynus americanus,15.0,0.015,0.0725959690494053,W,20.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Osteopilus septentrionalis,16.0,0.016,0.1156601112404471,W,21.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Plethodon glutinosus,4.0,0.004,0.0045105048172519,W,22.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5245.42809510134,-5371.5125355869895,585.5198230162318,-443.0625874385415,-745.9272767006054,-0.9781958542154996,-191.86521015521856,19.95321262347688,0.0518165390428367,0.5786593485044109
Plethodon jordani,4.0,0.004,0.0089600584827443,W,27.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5245.42809510134,-5371.5125355869895,585.5198230162318,-443.0625874385415,-745.9272767006054,-0.9781958542154996,-191.86521015521856,19.95321262347688,0.0518165390428367,0.5786593485044109
Plethodon yonahlossee,5.0,0.005,0.0053562244704867,W,22.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5245.42809510134,-5371.5125355869895,585.5198230162318,-443.0625874385415,-745.9272767006054,-0.9781958542154996,-191.86521015521856,19.95321262347688,0.0518165390428367,0.5786593485044109
Pseudacris crucifer,1.0,0.001,0.007705587886072,W,21.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Pseudacris regilla,4.0,0.004,0.0376887169873225,W,21.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Pseudoeurycea gadovii,2.0,0.002,0.0030694444444444,W,15.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Pseudoeurycea unguidentis,3.0,0.003,0.0041744444444444,W,15.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Pseudotriton ruber,11.0,0.011,0.0125233333333333,W,15.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
