9speciesGH
Bathyporeia pelgica
Bathyporeia pilosa
Batrachoseps attenuatus
Bdellovibrio bacteriovorus
Beggiatoa sp.
Beneckea natriegens
Benthalbella elongata
Bettongia gaimardi
Blaberus discoidalis
Blaberus giganteous
Blaberus giganteus
Blanus cinereus
Blaps gigas
Blarina brevicauda
Blatella germanica
Blatta orientalis
Boa constrictor
Boissonneaua matthewsii
Bolitoglossa franklini
Bolitoglossa morio
Bolitoglossa occidentalis
Bolitoglossa rostrata
Bolitoglossa subpalmata
Bombina orientalis
Bombus terrestris
Bombyx mori
Bootettix punctatus
BorealGCB
Boreogadus saida
Boreomysis californica
Borostomias panamensis
Bothrometopus elongatus
Bothrometopus parvulus
Bothrometopus randi
Botrynema brucei
Boulengerula taitana
Bovallia gigantea
Brachymesia gravida
Brachyscelus latipes
Bradypus variegatus
Bradyrhizobium japonicum
Bradyrhizobium sp.
Branhamella catarrhalis
Brasilanus batus
Bresslaua insidiatrix
Brevoortia tyrannus
Brucella melitensis
Bufo alvaris
Bufo alvarius
Bufo americanus
Bufo boreas
Bufo bufo
Bufo calamita
Bufo cognatus
Bufo debilus
Bufo halophilus
Bufo marinus
Bufo retiformis
Bufo terrestris
Bufo viridis
Bufo woodhousii
Bulbitermes sp. C
Bulweria bulwerii
Bunopus tuberculatus
Burkholderia sp. 1
Burkholderia sp. JT1500
Burramys parvus
Buteo buteo
Byblis securiger
Byrsotria fumagata
Cabassous centralis
Cacomantis variolosus
Caeosagitta macrocephala
Calamospiza melanocorys
Calandra oryzae
Calanoides acutus
Calanopia elliptica
Calanus cristatus
Calanus finmarchicus
Calanus glacialis
Calanus helgolandicus
Calanus hyperboreus
Calanus pacificus
Calanus propinquus
Calanus tonsus
Calanus vulgaris
Calastacus quinqueseriatus
Callimico goeldii
Callinectes sapidus
Callionymus lyra
Callipepla californica
Callipepla gambelii
Callithrix pygmaea
Calomys musculinus
Calomys venustus
Calosoma affine
Calosoma chlorostictum
Calosoma indet
Calosoma sp.
Calosoma sp. 1
Caluromys derbianus
Camelus dromedarius
Campalita chlorostictum
Camponotus detritus
Camponotus fulvopilosus
Camponotus herculeanus
Camponotus laevigatus
Camponotus maculatus
Camponotus sericeiventris
Camponotus sp.
Camponotus sp. 1
Camponotus vafer
Camponotus vicinus
Campostoma anomalum
Cancer magister
Cancer pagurus
Candacia aethiopica
Candacia columbiae
Candacia sp. 1
Candoia carinatus
Canis mesomelas
Cannomys badius
Canonopsis sericeus
Capromys pilorides
Caranx caballus
Caranx hippos
Carapus homei
Carassius auratus
Carassius auratus auratus
Carassius carassius
Carcinus maenas
Cardiosis fairmarei
Carenum sp.
Carinum sp. 1
Carollia perspicillata
Castor canadensis
Cataglyphis bicolor
Catostomus commersoni
Catostomus commersonii
Catostomus tahoensis
Cavia porcellus
Cebuella pygmaea
Cellvibrio gilvus
Centrioptera muricata
Centropages abdominaris
Centropages brachiatus
Centropages kroyeri
Centropages trispinosus
Centropristis striata
Centropus senegalensis
Ceratophrys calcarata
Ceratopipra mentalis
Cercartetus concinnus
Cercartetus lepidus
Cercartetus nanus
Cercopithecus mitis
Cerdocyon thous
Cerotalis sp.
Cerotalis sp. 1
Ceuthophilis fossor
Ceuthophilis gracilipes
Ceuthophilus fossor
Chaenocephalus aceratus
Chaetocercus mulsant
Chaetoceros furcellatus
Chaetodipus baileyi
Chaetodipus fallax
Chaetodipus hispidus
Chaetodipus intermedius
Chaetophractus nationi
Chaetophractus vellerosus
Chaetophractus villosus
Chalcides ocellatus
Chalcomitra adelberti
Chalcomitra amethystina
Chalcomitra senegalensis
Chalinolobus gouldii
Channa marulius
Channa orientalis
Channa punctata
Channa striata
Channichthys rhinoceratus
Chanos chanos
Cheilinus fasciatus
Cheirogaleus medius
Chelaner rothsteini
Chelydra serpentina
Cherax destructor
Chiasmodon niger
Chilanthia cavernosa
Chilomonas paramecium
Chiloscyllium plagiosum
Chinchilla lanigera
Chionomys nivalis
Chiromantis petersi
Chironius quadricarinatus
Chironomus riparius
Chiropterotriton bromeliacia
Chlamydomonas reinhardtii
Chlorella kessleri
Chlorella pyrenoidosa
Chlorobium BS-1
Chloropsis sonnerati
Chlorostilbon mellisugus
Choeroniscus godmani
Choloepus hoffmanni
Chorismus antarcticus
Chromatium vinosum
Chromis atripectoralis
Chromis chromis
Chromis ternatensis
Chrotopterus auritus
Chrysuronia oenone
Cichlasoma bimaculatum
Cicindela longilabris
Cicindela repanda
Cilliba cassidea
Cinnyris bifasciatus
Cinnyris cupreus
Cinnyris venustus
Circellium bacchus
Cirrhinus cirrhosus
Citellus undulatus
Citharichthys stigmaeus
Clarias batrachus
Clausocalanus furcatus
Cleistosoma edwardsii
Clinocottus analis
Clubiona barroana
Cnemidophorus murinus
Cnemidophorus tigris
Coccochloris peniocystis
Coeloesis biloba
Coendou prehensilis
Coenobita compressus
Coleonyx switaki
Coleonyx variegatus
Coleps hirtus
Colisa fasciata
Colobenema sericeum
Colobus guereza
Colossoma macropomum
Colostethus inguinalis
Colostethus nubicola
Colpidium campylum
Coluber constrictor
Conchoecia sp. 1
Conchoecia sp. 2
Condylura cristata
Conger conger
Conilurus penicillatus
Conocephalus fasciatus
Conraua goliath
Copsychus saularis
Coptodon zillii
Coptotermes formosanus
Corallus caninus
Corallus enhydris
Coregonus autumnalis autumnalis
Coregonus clupeaformis
Coregonus fera
Coregonus sardinella
Corycaeus typicus
Corydalis cornutus
Corynebacterium sp.
Coryphaena equiselis
Coryphaena hippurus
Coryphaenoides armatus
Coscinodiscus sp. C38B
Coscinodiscus sp. CoA
Cosymbotus platyurus
Cottus gobio
Coturnix chinensis
Coturnix japonica
Coturnix pectoralis
Cracticus torquatus
Cranchia scabra
Crangon abyssorum
Crangon affinis
Crangon communis
Crepidogaster bioculata
Cricetomys gambianus
Cricetulus migratorius
Crinia parinsignifera
Crinia signifera
Crithida (Strigomonas) fasciculata
Crithidia (Strigomonas) oncopelti
Crocidura hildegardeae
Crocidura jouvenetae
Crocidura luna
Crocidura olivieri
Crocidura poensis
Crocidura russula
Crocidura suaveolens
Crocidura viaria
Crocodylus porosus
Crossota alba
Crossota rufobrunnea
Crossota sp. A
Crotalus viridis
Crotaphytus collaris
Cryptobranchus alleganiensis
Cryptoglossa verrucosa
Cryptoglossa verrucossa
Cryptomys bocagei
Cryptomys damarensis
Cryptomys darlingi
Cryptomys hottentotus
