class,order,family,Genus,species,wet_Mass_g,wet_Mass_kg,BMR,BMR_unit,temperature,temperature_unit,Reference,taxon_name
Amphibia,Caudata,Plethodontidae,Bolitoglossa,subpalmata,2.0,0.002,0.0022777777777777,W,13.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Bolitoglossa subpalmata
Amphibia,Anura,Bombinatoridae,Bombina,orientalis,3.0,0.003,0.0068333333333333,W,20.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Bombina orientalis
Amphibia,Anura,Dendrobatidae,Colostethus,inguinalis,2.0,0.002,0.0062777777777777,W,20.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Colostethus inguinalis
Amphibia,Anura,Dendrobatidae,Dendrobates,auratus,2.0,0.002,0.0113333333333333,W,25.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Dendrobates auratus
Amphibia,Caudata,Plethodontidae,Desmognathus,ochrophaeus,2.0,0.002,0.0026111111111111,W,21.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Desmognathus ochrophaeus
Amphibia,Caudata,Plethodontidae,Desmognathus,quadramaculatus,28.0,0.028,0.012,W,21.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Desmognathus quadramaculatus
Amphibia,Anura,Alytidae,Discoglossus,pictus,31.0,0.031,0.0453888888888888,W,20.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Discoglossus pictus
Amphibia,Anura,Hylidae,Dryophytes,arenicolor,3.0,0.003,0.0157777777777777,W,20.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Dryophytes arenicolor
Amphibia,Anura,Hylidae,Dryophytes,chrysoscelis,5.0,0.005,0.0298888888888888,W,20.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Dryophytes chrysoscelis
Amphibia,Anura,Hylidae,Dryophytes,cinereus,10.0,0.01,0.0417222222222222,W,21.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Dryophytes cinereus
