taxon_name,wet_Mass_kg,temperature,pc1,pc2,pc3,pc4,pc5,BMR
Daphnia pulex,3.74e-07,15.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,2.4517944e-05
Daphnia pulex,4.81e-07,10.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,2.0339085e-05
Daphnia pulex,5.81e-07,5.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,2.1885108e-05
Daphnia pulex,6e-07,21.5,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,7.94934e-05
Euchaeta plana,3e-06,20.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,3.3480000000000004e-06
Euphausia crystallorophias,5.3e-05,-1.0,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.0003605325
Euphausia crystallorophias,7.9e-05,-1.7,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.0003433971999999
Euphausia crystallorophias,8.999999999999999e-05,-1.5,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.0003073049999999
Euphausia crystallorophias,0.000211,-1.7,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.000880925
Euphausia crystallorophias,0.000249,-1.7,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.0013295604
Euphausia pacifica,3.3799999999999995e-05,10.0,-10458.12382021577,512.5326886491094,18.32469209441209,-0.1056981956427287,-0.13197245874202,0.0003101285199999
Euphausia superba,0.0003689999999999,-1.1,-10458.12382021576,512.5326886491047,18.32469209441382,-0.1056981956429414,-0.1319724587422514,0.0011511693
