"class","order","family","Genus","species","wet_Mass_g","wet_Mass_kg","temperature","temperature_unit","Reference","taxon_name","pc1","pc2","pc3","pc4","pc5","log_mass","log_BMR","inv_kT","row_id","Species","temp_K","in_phylogeny","y_fitted_log_BMR","residual_log_BMR"
"Amphibia","Caudata","Plethodontidae","Eurycea","nana",0.7099999999999,0.0007099999999999,25,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Eurycea nana",-3215.20391100819,4101.75813902701,1649.98993685957,-202.484664261276,-3245.86629803614,-3.14874165128099,-4.06595628096447,38.9232497932056,11,"Eurycea nana",298.15,TRUE,-2.27322754246542,-1.79272873849906
"Amphibia","Anura","Dicroglossidae","Fejervarya","cancrivora",20.45,0.02045,30,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Fejervarya cancrivora",-2756.04765077888,216.103477442877,-1994.14460240561,-588.522102691723,179.228358371418,-1.68930668765664,-1.90113831651547,38.2812697537333,12,"Fejervarya cancrivora",303.15,TRUE,-1.11372580920638,-0.78741250730909
"Amphibia","Anura","Microhylidae","Gastrophryne","carolinensis",3.5,0.0035,15,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Gastrophryne carolinensis",-2756.04765077888,216.103477442877,-1994.14460240561,-588.522102691723,179.228358371418,-2.45593195564972,-2.89126589139764,40.2740479814134,13,"Gastrophryne carolinensis",288.15,TRUE,-2.02555190568464,-0.865713985712992
"Amphibia","Gymnophiona","Dermophiidae","Geotrypetes","seraphini",1.9,0.0019,20,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Geotrypetes seraphini",-3237.34732128468,4291.44028359098,1829.46643126017,-182.441117693325,-3387.27595535953,-2.72124639904717,-3.26034855629062,39.5871292029482,14,"Geotrypetes seraphini",293.15,TRUE,-2.08938090962591,-1.17096764666472
"Amphibia","Anura","Hyperoliidae","Hyperolius","tuberilinguis",1,0.001,20,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Hyperolius tuberilinguis",-2756.04765077888,216.103477442877,-1994.14460240561,-588.522102691723,179.228358371418,-3,-3.37161106994969,39.5871292029482,16,"Hyperolius tuberilinguis",293.15,TRUE,-2.28842353017255,-1.08318753977714
"Amphibia","Anura","Dicroglossidae","Occidozyga","martensii",9.3,0.0093,35,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Occidozyga martensii",-2756.04765077888,216.103477442877,-1994.14460240561,-588.522102691723,179.228358371418,-2.03151705144606,-2.22263118408625,37.6601230759184,17,"Occidozyga martensii",308.15,TRUE,-1.24448976518973,-0.978141418896519
"Amphibia","Caudata","Plethodontidae","Plethodon","dorsalis",0.69,0.00069,25,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Plethodon dorsalis",-3215.20391100819,4101.75813902701,1649.98993685957,-202.484664261276,-3245.86629803614,-3.16115090926274,-3.8778496805592,38.9232497932056,18,"Plethodon dorsalis",298.15,TRUE,-2.28208831132826,-1.59576136923094
"Amphibia","Caudata","Plethodontidae","Plethodon","jordani",3.1,0.0031,5,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Plethodon jordani",-3215.20391100819,4101.75813902701,1649.98993685957,-202.484664261276,-3245.86629803614,-2.50863830616573,-3.82739706879043,41.7219734885647,19,"Plethodon jordani",278.15,TRUE,-2.32797004885365,-1.49942701993678
"Amphibia","Caudata","Plethodontidae","Plethodon","neomexicanus",2.47,0.00247,25,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Plethodon neomexicanus",-3215.20391100819,4101.75813902701,1649.98993685957,-202.484664261276,-3245.86629803614,-2.60730304674033,-3.07710334853725,38.9232497932056,20,"Plethodon neomexicanus",298.15,TRUE,-1.8866160032978,-1.19048734523946
"Amphibia","Anura","Hylidae","Pseudacris","crucifer",9.9,0.0099,20,"C","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Pseudacris crucifer",-2756.04765077888,216.103477442877,-1994.14460240561,-588.522102691723,179.228358371418,-2.00436480540245,-2.19547893804264,39.5871292029482,21,"Pseudacris crucifer",293.15,TRUE,-1.5774951778077,-0.617983760234941
