model,rmse,mae,r2
M3-L,0.9946214940160801,0.763193072061641,0.8828658301147138
Residual-best(XGB),1.056729991594417,0.802410128436614,0.8677803537895542
M2-L,1.1275178717085867,0.8660370576032793,0.8494728661356096
M4-PGLS,1.206481108329079,0.9429282061884958,0.8276509176148203
M1-L,1.2928927056896287,1.005182015207757,0.802078536253861
M0-L,1.3660724314502846,1.0543255616082339,0.7790391267246763
