taxon_name
Ambystoma tigrinum
Ambystoma maculatum
Ambystoma jeffersonianum
Ambystoma laterale
Ambystoma macrodactylum
Ambystoma opacum
Ambystoma gracile
Salamandra salamandra
Lissotriton vulgaris
Triturus cristatus
Taricha rivularis
Taricha torosa
Taricha granulosa
Notophthalmus viridescens
Amphiuma tridactylum
Amphiuma means
Plethodon glutinosus
Plethodon jordani
Plethodon yonahlossee
Plethodon dorsalis
Plethodon cinereus
Plethodon neomexicanus
Hydromantes platycephalus
Desmognathus ochrophaeus
Desmognathus fuscus
Desmognathus monticola
Desmognathus quadramaculatus
Aneides ferreus
Aneides flavipunctatus
Aneides lugubris
Aneides hardii
Dendrotriton bromeliacius
Pseudoeurycea unguidentis
Pseudoeurycea leprosa
Pseudoeurycea cochranae
Pseudoeurycea gadovii
Pseudoeurycea rex
Pseudoeurycea goebeli
Pseudoeurycea brunnata
Aquiloeurycea cephalica
Bolitoglossa subpalmata
Bolitoglossa occidentalis
Bolitoglossa rostrata
Bolitoglossa morio
Bolitoglossa franklini
Batrachoseps attenuatus
Pseudotriton ruber
Gyrinophilus porphyriticus
Eurycea multiplicata
Eurycea neotenes
Eurycea nana
Eurycea bislineata
Eurycea longicauda
Rhyacotriton olympicus
Necturus maculosus
Scaphiopus couchii
Spea bombifrons
Spea hammondii
Odontophrynus americanus
Telmatobius culeus
Telmatobius marmoratus
Lepidobatrachus llanensis
Ceratophrys calcarata
Mannophryne trinitatis
Dendrobates auratus
Colostethus inguinalis
Silverstoneia nubicola
Rhinella marina
Incilius alvarius
Anaxyrus americanus
Anaxyrus woodhousii
Anaxyrus terrestris
Anaxyrus retiformis
Anaxyrus debilis
Anaxyrus cognatus
Anaxyrus boreas
Bufo bufo
Epidalea calamita
Bufotes viridis
Leptodactylus fuscus
Engystomops pustulosus
Osteopilus septentrionalis
Pseudacris triseriata
Pseudacris nigrita
Pseudacris crucifer
Pseudacris cadaverina
Pseudacris regilla
Acris crepitans
Smilisca baudinii
Smilisca fodiens
Hyla arborea
Dryophytes cinereus
Dryophytes gratiosus
Dryophytes squirellus
Dryophytes arenicolor
Dryophytes chrysoscelis
Dryophytes versicolor
Agalychnis callidryas
Eleutherodactylus portoricensis
Eleutherodactylus coqui
Crinia parinsignifera
Crinia signifera
Pyxicephalus adspersus
Conraua goliath
Lithobates catesbeianus
Rana temporaria
Rana arvalis
Rana muscosa
Hylarana chalconota
Hylarana erythraea
Occidozyga martensii
Fejervarya cancrivora
Euphlyctis cyanophlyctis
Limnonectes magnus
Gastrophryne carolinensis
Kaloula pulchra
Hyperolius viridiflavus
Hyperolius tuberilinguis
Kassina senegalensis
Xenopus laevis
Bombina orientalis
Discoglossus pictus
Isoodon macrourus
Isoodon auratus
Perameles nasuta
Perameles gunnii
Echymipera rufescens
Echymipera kalubu
Macrotis lagotis
Myrmecobius fasciatus
Antechinomys laniger
Sminthopsis macroura
Sminthopsis crassicaudata
Ningaui yvonnae
Planigale ingrami
Planigale gilesi
Planigale tenuirostris
Planigale maculata
Antechinus swainsonii
Antechinus flavipes
Antechinus stuartii
Phascogale tapoatafa
Dasyuroides byrnei
Dasycercus cristicauda
Pseudantechinus macdonnellensis
Sarcophilus harrisii
Dasyurus hallucatus
Dasyurus geoffroii
Dasyurus viverrinus
Dasyurus maculatus
Notoryctes caurinus
Cercartetus nanus
Cercartetus lepidus
Cercartetus concinnus
Burramys parvus
Spilocuscus maculatus
Trichosurus vulpecula
Bettongia gaimardi
Aepyprymnus rufescens
Dendrolagus matschiei
Lagorchestes conspicillatus
Petauroides volans
Petaurus breviceps
Tarsipes rostratus
Acrobates pygmaeus
Phascolarctos cinereus
Lasiorhinus latifrons
Dromiciops gliroides
Caluromys derbianus
Marmosa robinsoni
Monodelphis brevicaudata
Monodelphis domestica
Philander opossum
Didelphis marsupialis
Didelphis virginiana
Lutreolina crassicaudata
Metachirus nudicaudatus
Gracilinanus microtarsus
Crocidura russula
Crocidura suaveolens
Crocidura luna
Crocidura jouvenetae
Crocidura hildegardeae
Crocidura viaria
Crocidura olivieri
Crocidura poensis
Myosorex varius
Neomys fodiens
Notiosorex crawfordi
Blarina brevicauda
Sorex coronatus
Sorex palustris
Sorex minutus
Sorex alpinus
Hemiechinus auritus
Paraechinus aethiopicus
Atelerix albiventris
Erinaceus europaeus
Erinaceus concolor
Hylomys suillus
Echinosorex gymnura
Neurotrichus gibbsii
Condylura cristata
Scalopus aquaticus
Manis javanica
Manis pentadactyla
Paradoxurus hermaphroditus
Arctictis binturong
Arctogalidia trivirgata
Genetta tigrina
Fossa fossana
Suricata suricatta
Galerella sanguinea
Proteles cristata
Puma concolor
Puma yagouaroundi
Leopardus wiedii
Leopardus pardalis
Leptailurus serval
Panthera tigris
Panthera leo
Nandinia binotata
Vulpes vulpes
Vulpes lagopus
Vulpes macrotis
Vulpes cana
Vulpes zerda
Canis mesomelas
Cerdocyon thous
Taxidea taxus
Eira barbara
Martes americana
Enhydra lutris
Mustela erminea
Mustela frenata
Potos flavus
Nasua narica
Bassariscus sumichrasti
Ailurus fulgens
Spilogale putorius
Mephitis mephitis
Phoca vitulina
Lama glama
Camelus dromedarius
Kobus ellipsiprymnus
Madoqua kirkii
Raphicerus campestris
Philantomba monticola
Oryx leucoryx
Alces americanus
Tragulus javanicus
Pecari tajacu
Hipposideros cervinus
Hipposideros galeritus
Hipposideros diadema
Aselliscus tricuspidatus
Rhinonicteris aurantia
Macroderma gigas
Pteropus hypomelanus
Pteropus rodricensis
Pteropus giganteus
Pteropus vampyrus
Pteropus pumilus
Pteropus poliocephalus
Pteropus scapulatus
Eonycteris spelaea
Rousettus aegyptiacus
Rousettus amplexicaudatus
Dobsonia moluccensis
Dobsonia praedatrix
Dobsonia minor
Macroglossus minimus
