taxon_name
Flaccisagitta hexaptera
Dosidicus gigas
Sthenoteuthis oualaniensis
Sthenoteuthis pteropus
Illex illecebrosus
Lolliguncula brevis
Sepioteuthis lessoniana
Octopus maya
Octopus bimaculoides
Octopus vulgaris
Octopus cyanea
Octopus rubescens
Japetella diaphana
Enteroctopus dofleini
Vampyroteuthis infernalis
Atolla vanhoeffeni
Aglantha digitale
Frontonia leucas
Tetrahymena pyriformis
Eimeria tenella
Plasmodium knowlesi
Plasmodium gallinaceum
Trichomonas vaginalis
Amoeba proteus
