Neocalanus gracilis
Neocalanus plumchrus
Oithona davisae
Oithona minuta
Oithona nana
Oithona plumifera
Oithona setigera
Oithona similis
Oithona tenuis
Oncaea conifera
Oncaea mediterranea
Onchocalanus magnus
Paracalanus parvus
Paraeuchaeta antarctica
Paraeuchaeta birostrata
Paraeuchaeta brevicauda
Paraeuchaeta californica
Paraeuchaeta japonica
Paraeuchaeta norvegica
Paraeuchaeta rubra
Paraeuchaeta sesquipedalis
Paraeuchaeta sp.
Paraeuchaeta tonsa
Pareucalanus attenuatus
Penilia avirostris
Pleuromamma abdominalis
Pleuromamma gracilis
Pleuromamma robusta
Podon polyphemoides
Polyartemia forcipata
Pontella danae
Pontella sp.
Pseudhaloptilus pacificus
Pseudocalanus elongatus
Pseudochirella polyspina
Pseudodiaptomus marinus
Rhincalanus gigas
Rhincalanus nasutus
Sapphirina gemma
Scolecithrix danae
Semibalanus balanoides
Temora longicornis
Thysanoessa inermis
Thysanoessa macrura
Thysanoessa raschii
Thysanopoda cornuta
Tortanus discaudatus
Tortanus gracilis
Triops cancriformis
Undinula vulgaris
Valdiviella oligartha
Acanthephyra acutifrons
Acanthephyra curtirostris
Acanthephyra smithi
Austrothelphusa transversa
Calastacus quinqueseriatus
Callinectes sapidus
Cancer magister
Cancer pagurus
Carcinus maenas
Cherax destructor
Chorismus antarcticus
Cleistosoma edwardsii
Coenobita compressus
Crangon abyssorum
Crangon affinis
Crangon communis
Eriphia spinifrons
Gecarcinus lateralis
Gecarcoidea natalis
Gennadas kempi
Gennadas propinquus
Glyphocrangon vicaria
Hemigrapsus nudus
Hemigrapsus oregonensis
Homarus americanus
Hymenodora frontalis
Janicella spinicauda
Lucifer typus
Lysmata sp.
Macrobrachium acanthurus
Macrobrachium heterochirus
Macrobrachium olfersii
Macrobrachium potiuna
Maja squinado
Menippe mercenaria
Metapenaeus pruinosus
Munidopsis verrilli
Notocrangon antarcticus
Notostomus elegans
Notostomus gibbosus
Notostomus sp.
Ocypode platytarsis
Ocypode quadrata
Oplophorus gracilorostris
Oplophorus spinosus
Pachygrapsus marmoratus
Palaemon adspersus
Pandalopsis ampla
Pandalus jordani
Pandalus platyceros
Panopeus herbstii
Paralomis multispina
Parathelphusa hydrodromus
Pasiphaea chacei
Pasiphaea emarginata
Pasiphaea pacifica
Pasiphaea scotiae
Penaeus sp.
Plesionika sp.
Pleuroncodes planipes
Sabinea septemcarinata
Sclerocrangon ferox
Scylla serrata
Sergestes bisulcatus
Sergestes fulgens
Sergestes phorcus
Sergestes similis
Sergestes tenuiremis
Sesarma quadratus
Sicyonia igentis
Stereomastis sculpta
Systellaspis cristata
Systellaspis debilis
Uca leptodactyla
Uca minax
Uca mordax
Uca pugnas
Uca rapax
Uca thayeri
Xantho hydrophilus
Strombidium capitatum
Coregonus clupeaformis
Ctenopharyngodon idella
Danio rerio
Epalzeorhynchos frenatus
Esox lucius
Gadus morhua
Gasterosteus aculeatus
Isurus oxyrinchus
Lepomis macrochirus
Leporinus fasciatus
Menidia menidia
Negaprion brevirostris
Notothenia neglecta
Oncorhynchus kisutch
Oncorhynchus mykiss
Oncorhynchus tshawytscha
Oreochromis mossambicus
Pomoxis annularis
Scophthalmus maximus
Scyliorhinus stellaris
Triakis semifasciata
Acipenser transmontanus
Anabas testudineus
Anarhichas minor
Anguilla anguilla
Bathylagus antarcticus
Benthalbella elongata
Boreogadus saida
Centropristis striata
Channa marulius
Channa orientalis
Channa punctata
Channa striata
Channichthys rhinoceratus
Chiasmodon niger
Clarias batrachus
Clinocottus analis
Colisa fasciata
Coryphaena equiselis
Coryphaena hippurus
Cubiceps whiteleggii
Cyclothone microdon
Dactylopterus volitans
Electrona antarctica
Gadus ogac
Gobionotothen gibberifrons
Gymnodraco acuticeps
Gymnoscopelus braueri
Gymnoscopelus opisthopterus
Harpagifer georgianus
Lepidogalaxias salamandroides
Lycodichthys dearborni
Melanocetus johnsonii
Melanostigma gelatinosum
Monopterus cuchia
Myoxocephalus scorpius
Naucrates ductor
Notothenia coriiceps
Notothenia cyanobrancha
Osphronemus goramy
Pagetopsis macropterus
Pagothenia borchgrevinki
Paranotothenia magellanica
Pseudochaenichthys georgianus
Stomias danae
Trematomus bernacchii
Trematomus hansoni
Trematomus pennellii
Trichogaster trichopterus
Abramis brama
Acanthopagrus schlegelii
Acipenser fulvescens
Acipenser gueldenstaedtii
Acipenser nudiventris
Acipenser ruthenus
Acipenser stellatus
Aequidens pulcher
Albula vulpes
Alburnus alburnus
Ambassis interrupta
Ameiurus melas
Ameiurus natalis
Ameiurus nebulosus
Anguilla australis
Anguilla japonica
Anguilla rostrata
Anoplogaster cornuta
Aphanius dispar
Arapaima gigas
Aristostomias lunifer
Bajacalifornia burragei
Balistes capriscus
Bathylagoides wesethi
Borostomias panamensis
Brevoortia tyrannus
Callionymus lyra
Campostoma anomalum
Caranx caballus
Caranx hippos
Carapus homei
Carassius auratus
Carassius carassius
Catostomus commersonii
Catostomus tahoensis
Chaenocephalus aceratus
Chanos chanos
Cheilinus fasciatus
Chiloscyllium plagiosum
Chromis atripectoralis
Chromis chromis
Chromis ternatensis
Cichlasoma bimaculatum
Cirrhinus cirrhosus
Citharichthys stigmaeus
Colossoma macropomum
Conger conger
Coptodon zillii
Coregonus autumnalis
Coregonus fera
Coregonus sardinella
Coryphaenoides armatus
Cottus gobio
Cyclothone acclinidens
Cyprinella lutrensis
Cyprinodon variegatus
Cyprinus carpio
Dascyllus aruanus
Dascyllus reticulatus
Dasyatis sabina
Diaphus theta
Dicentrarchus labrax
Diplodus sargus
Dorosoma cepedianum
Echeneis naucrates
Echiichthys vipera
Embiotoca lateralis
Encheliophis homei
Engraulis japonicus
Epinephelus akaara
Erimyzon oblongus
Erpetoichthys calabaricus
Esomus danricus
Esox masquinongy
Etheostoma blennioides
Euthynnus affinis
Exodon paradoxus
Fundulus grandis
Fundulus heteroclitus
Fundulus parvipinnis
Fundulus similis
Gadus chalcogrammus
Gambusia affinis
Gambusia holbrooki
Genyagnus monopterygius
Gilchristella aestuaria
Gillichthys mirabilis
Girella nigricans
Glossogobius giuris
Gnathonemus petersii
Gobio gobio
Gobius paganellus
Gymnocephalus cernuus
Hemichromis bimaculatus
Heteropneustes fossilis
Hippocampus hippocampus
Hippoglossoides platessoides
Hoplerythrinus unitaeniatus
Hybognathus nuchalis
Ichthyomyzon fossor
Ictalurus punctatus
Katsuwonus pelamis
Kuhlia sandvicensis
Labeo calbasu
Labeo capensis
Labeo rohita
Labeobarbus aeneus
Labrus bergylta
Lagodon rhomboides
Lampetra fluviatilis
Lampetra planeri
Lates calcarifer
Leiostomus xanthurus
Lepidocephalichthys guntea
Lepomis cyanellus
Lepomis gibbosus
Leucaspius delineatus
Leuciscus cephalus
Leuciscus idus
Leuciscus leuciscus
Leuroglossus stilbius
Limanda limanda
Lipolagus ochotensis
Lipophrys pholis
Liza aurata
Liza dumerili
Liza macrolepis
Liza richardsonii
Lota lota
Lutjanus campechanus
Maccullochella peelii
Macrognathus aculeatus
Marcusenius victoriae
Melamphaes acanthomus
Melanogrammus aeglefinus
Melanonus zugmayeri
Melanostigma pammelas
Micropogonias undulatus
Micropterus dolomieu
Micropterus salmoides
Microstomus kitt
Misgurnus fossilis
Morone americana
Morone saxatilis
Mugil cephalus
Mugil curema
Myoxocephalus octodecemspinosus
Mystus armatus
Mystus cavasius
Mystus gulio
Mystus vittatus
Myxine glutinosa
Nannobrachium regale
Nannobrachium ritteri
Neopomacentrus azysron
Neopomacentrus bankieri
Neopomacentrus cyanomos
Notemigonus crysoleucas
Notothenia rossii
Oligolepis acutipennis
Oncorhynchus gorbuscha
Oncorhynchus nerka
Oneirodes acanthias
Ophiodon elongatus
Opsanus tau
Oreochromis aureus
Oreochromis niloticus
Orthodon microlepidotus
Oryzias latipes
Parophrys vetulus
Parvilux ingens
Perca fluviatilis
