"model","status","AIC","logLik","message","delta_AIC"
"pglsModel_Brownian","ok",-13231.5477961819,6619.77389809095,"",0
"pglsModel_Lambda","ok",1382.74186116546,-686.370930582731,"",14614.2896573474
"pglsModel_Grafen","ok",1403.8655755054,-696.932787752701,"",14635.4133716873
"pglsModel_Martins","failed",NA,NA,"Error in corFactor.corStruct(object) : 
  NA/NaN/Inf in foreign function call (arg 1)
",NA
"pglsModel_Blomberg","failed",NA,NA,"Error in corMatrix.corBlomberg(object) : 
  the optimization has reached a value <= 0 for parameter 'g':
probably need to set 'fixed = TRUE' in corBlomberg().
",NA
