class,order,family,Genus,species,wet_Mass_g,wet_Mass_kg,BMR,BMR_unit,temperature,temperature_unit,Reference,taxon_name,pc1,pc2,pc3,pc4,pc5,log_mass,log_BMR,inv_kT
Amphibia,Caudata,Plethodontidae,Gyrinophilus,porphyriticus,7.0,0.007,0.0039444444444444,W,15.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Gyrinophilus porphyriticus,-4787.355476805344,-1628.0238829484106,32.47011504609951,-1.8874344255119289,-0.0029329313331031,-4.961845129926823,-5.535447159836997,40.274047981413375
Amphibia,Caudata,Plethodontidae,Plethodon,glutinosus,4.0,0.004,0.0035555555555555,W,22.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Plethodon glutinosus,-4787.355476805344,-1628.0238829484106,32.47011504609951,-1.8874344255119289,-0.0029329313331031,-5.521460917862246,-5.639243953518646,39.31887828508983
Amphibia,Caudata,Plethodontidae,Plethodon,jordani,4.0,0.004,0.0104999999999999,W,27.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Plethodon jordani,-4787.355476805344,-1628.0238829484106,32.47011504609951,-1.8874344255119289,-0.0029329313331031,-5.521460917862246,-4.5563800218186685,38.663891140577256
Amphibia,Anura,Hylidae,Pseudacris,cadaverina,3.0,0.003,0.0215555555555555,W,23.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Pseudacris cadaverina,-4787.355476805344,-1628.0238829484106,32.47011504609951,-1.8874344255119289,-0.0029329313331031,-5.809142990314028,-3.837121697255031,39.18611151728605
Amphibia,Caudata,Plethodontidae,Pseudoeurycea,unguidentis,3.0,0.003,0.0018888888888888,W,15.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Pseudoeurycea unguidentis,-4787.355476805344,-1628.0238829484106,32.47011504609951,-1.8874344255119289,-0.0029329313331031,-5.809142990314028,-6.271766512262188,40.274047981413375
Amphibia,Caudata,Plethodontidae,Pseudotriton,ruber,11.0,0.011,0.0056666666666666,W,15.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Pseudotriton ruber,-4787.355476805344,-1628.0238829484106,32.47011504609951,-1.8874344255119289,-0.0029329313331031,-4.509860006183766,-5.173154223594042,40.274047981413375
Amphibia,Anura,Pyxicephalidae,Pyxicephalus,adspersus,400.0,0.4,1.9104444444444448,W,20.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Pyxicephalus adspersus,-4787.355476805344,-1628.0238829484106,32.47011504609951,-1.8874344255119289,-0.0029329313331031,-0.916290731874155,0.6473359084160332,39.5871292029482
Amphibia,Anura,Bufonidae,Rhinella,marina,266.0,0.266,2.109444444444444,W,25.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Rhinella marina,-4787.355476805344,-1628.0238829484106,32.47011504609951,-1.8874344255119289,-0.0029329313331031,-1.324258970200438,0.746424616347546,38.92324979320565
Amphibia,Anura,Scaphiopodidae,Scaphiopus,couchii,21.0,0.021,0.2270555555555555,W,25.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Scaphiopus couchii,-4787.355476805344,-1628.0238829484106,32.47011504609951,-1.8874344255119289,-0.0029329313331031,-3.863232841258714,-1.4825605533140247,38.92324979320565
Amphibia,Anura,Scaphiopodidae,Spea,hammondii,11.0,0.011,0.024,W,15.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Spea hammondii,-4787.355476805344,-1628.0238829484106,32.47011504609951,-1.8874344255119289,-0.0029329313331031,-4.509860006183766,-3.7297014486341915,40.274047981413375
Amphibia,Caudata,Salamandridae,Taricha,torosa,11.0,0.011,0.0082222222222222,W,15.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Taricha torosa,-4787.355476805344,-1628.0238829484106,32.47011504609951,-1.8874344255119289,-0.0029329313331031,-4.509860006183766,-4.800914763114189,40.274047981413375
Amphibia,Anura,Pipidae,Xenopus,laevis,36.0,0.036,0.2689444444444444,W,25.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Xenopus laevis,-4787.355476805344,-1628.0238829484106,32.47011504609951,-1.8874344255119289,-0.0029329313331031,-3.3242363405260273,-1.3132504469386077,38.92324979320565
Amphibia,Caudata,Ambystomatidae,Ambystoma,macrodactylum,3.414,0.003414,0.0006111059999999,W,15.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Ambystoma macrodactylum,-5161.7596141252125,3001.388430857802,9.634434675552006,-0.8060288767381045,-0.0021049370118414,-5.679870654609888,-7.400240127751434,40.274047981413375
Amphibia,Anura,Bufonidae,Anaxyrus,boreas,57.8,0.0578,0.0058378,W,20.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Anaxyrus boreas,-4787.355476805344,-1628.0238829484106,32.47011504609951,-1.8874344255119289,-0.0029329313331031,-2.8507665033038054,-5.143401265444683,39.5871292029482
Amphibia,Anura,Bufonidae,Anaxyrus,debilis,0.66,0.00066,0.00046926,W,15.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Anaxyrus debilis,-4787.355476805344,-1628.0238829484106,32.47011504609951,-1.8874344255119289,-0.0029329313331031,-7.3232707229438025,-7.664353572122699,40.274047981413375
Amphibia,Caudata,Plethodontidae,Aneides,ferreus,2.73,0.00273,0.00041223,W,15.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Aneides ferreus,-4787.355476805344,-1628.0238829484106,32.47011504609951,-1.8874344255119289,-0.0029329313331031,-5.903453669785269,-7.793929111952481,40.274047981413375
