"model","status","AIC","logLik","message","delta_AIC"
"pglsModel_Brownian","ok",-13049.644868079,6528.82243403949,"",0
"pglsModel_Lambda","ok",1560.95968849902,-775.479844249508,"",14610.604556578
"pglsModel_Grafen","ok",1565.3511898353,-777.67559491765,"",14614.9960579143
"pglsModel_Martins","failed",NA,NA,"Error in corFactor.corStruct(object) : 
  NA/NaN/Inf in foreign function call (arg 1)
",NA
"pglsModel_Blomberg","failed",NA,NA,"Error in corMatrix.corBlomberg(object) : 
  the optimization has reached a value <= 0 for parameter 'g':
probably need to set 'fixed = TRUE' in corBlomberg().
",NA
